"","from","to"
"468","TXN2","PSME3"
"469","TXN2","MRFAP1L1"
"470","TXN2","MLH1"
"471","TXN2","MAPRE2"
"472","TXN2","MAPRE3"
"473","TXN2","UCHL5"
"474","TXN2","RPIA"
"475","TXN2","VIM"
"476","TXN2","RABAC1"
"477","TXN2","RABGEF1"
"478","TXN2","STUB1"
"479","TXN2","NR3C1"
"480","TXN2","SHARPIN"
"481","TXN2","DCTD"
"482","TXN2","SSNA1"
"483","AFF4","GOLGA2"
"484","AFF4","SDCBP"
"485","AFF4","SIAH1"
"486","AFF4","SPP1"
"487","AFF4","MLLT1"
"488","AP1G1","UBL7"
"489","AP1G1","KIF13A"
"490","AP1G1","ARF1"
"491","AP1G1","CLTC"
"492","AP1G1","RABEP1"
"493","AP1G1","AP1B1"
"494","AP1G1","EPS15"
"495","AP1G1","CLINT1"
"496","AP1G1","AP1S2"
"497","AP1G1","PACS1"
"498","UBL7","ERCC1"
"499","UBL7","VBP1"
"500","UBL7","RAD23A"
"501","UBL7","UBC"
"502","UBL7","CD4"
"503","AES","BCL6"
"504","AES","DDX6"
"505","AES","GOLGA2"
"506","AES","GRB2"
"507","AES","HNRNPF"
"508","AES","KIFC3"
"509","AES","LMO2"
"510","AES","SMAD3"
"511","AES","MBNL1"
"512","AES","MFAP1"
"513","AES","PRKAA1"
"514","AES","QARS"
"515","AES","TRIM27"
"516","AES","SDCBP"
"517","AES","SNRPC"
"518","AES","SRPK2"
"519","AES","TCF4"
"520","AES","MLX"
"521","AES","TRIM26"
"522","AES","RBM10"
"523","AES","LMO4"
"524","AES","STX11"
"525","AES","CCNK"
"526","AES","EIF4E2"
"527","AES","MORF4L2"
"528","AES","CALCOCO2"
"529","AES","NEK6"
"530","AES","RBPMS"
"531","AES","U2AF2"
"532","AES","LDOC1"
"533","AES","KANK2"
"534","AES","GORASP2"
"535","AES","PRPF31"
"536","AES","MED4"
"537","AES","RNF31"
"538","AES","LSM2"
"539","AES","SCNM1"
"540","AES","CPSF7"
"541","AES","TSC22D4"
"542","AES","HMGB1"
"543","AES","RELA"
"544","AES","MVP"
"545","AES","CAPN1"
"546","AES","MAPK14"
"547","AES","RUNX1"
"548","AES","ATN1"
"549","AES","ATXN1L"
"550","AES","PTRH2"
"551","BCL6","KIFC3"
"552","BCL6","SIAH1"
"553","BCL6","ZBTB7B"
"554","BCL6","CUTC"
"555","BCL6","BCL6B"
"556","BCL6","PIN1"
"557","BCL6","CTBP1"
"558","BCL6","JUNB"
"559","BCL6","ZBTB16"
"560","BCL6","HDAC7"
"561","BCL6","FBXO11"
"562","BCL6","PELI1"
"563","BCL6","TP53"
"564","BCL6","HDAC1"
"565","BCL6","SPI1"
"566","BCL6","PML"
"567","BCL6","CTNNB1"
"568","BCL6","CREBBP"
"569","BCL6","NCOR2"
"570","BCL6","CHD3"
"571","BCL6","JUN"
"572","BCL6","HDAC5"
"573","BCL6","NCOR1"
"574","BCL6","RAF1"
"575","BCL6","JUND"
"576","BCL6","TWIST1"
"577","DDX6","GOLGA2"
"578","DDX6","TRIM27"
"579","DDX6","SRPK2"
"580","DDX6","TCF4"
"581","DDX6","CALCOCO2"
"582","DDX6","NONO"
"583","DDX6","ZNF24"
"584","DDX6","CNOT1"
"585","GOLGA2","KIFC3"
"586","GOLGA2","LMO2"
"587","GOLGA2","MFAP1"
"588","GOLGA2","PRKAA1"
"589","GOLGA2","SNRPC"
"590","GOLGA2","LMO4"
"591","GOLGA2","MORF4L2"
"592","GOLGA2","KANK2"
"593","GOLGA2","GORASP2"
"594","GOLGA2","PRPF31"
"595","GOLGA2","SCNM1"
"596","GOLGA2","TSC22D4"
"597","GOLGA2","TCEA2"
"598","GOLGA2","CDC73"
"599","GOLGA2","ERCC3"
"600","GOLGA2","PSMA1"
"601","GOLGA2","SNRPB"
"602","GOLGA2","UBE2I"
"603","GOLGA2","PKP4"
"604","GOLGA2","KAT5"
"605","GOLGA2","FAM193B"
"606","GOLGA2","PPP1R18"
"607","GOLGA2","GPS2"
"608","GOLGA2","BCL6B"
"609","GOLGA2","NDEL1"
"610","GOLGA2","TXLNA"
"611","GOLGA2","MORF4L1"
"612","GOLGA2","GSE1"
"613","GOLGA2","PIN1"
"614","GOLGA2","CCNC"
"615","GOLGA2","CCNH"
"616","GOLGA2","PKN1"
"617","GOLGA2","SMARCE1"
"618","GOLGA2","AMOTL2"
"619","GOLGA2","KANSL1"
"620","GOLGA2","RBM39"
"621","GOLGA2","YTHDC1"
"622","GOLGA2","PID1"
"623","GOLGA2","DAXX"
"624","GOLGA2","RBM17"
"625","GOLGA2","EIF4A2"
"626","GOLGA2","DMTN"
"627","GOLGA2","KIAA1217"
"628","GOLGA2","PATL1"
"629","GOLGA2","SNRPB2"
"630","GOLGA2","GEM"
"631","GOLGA2","GNG5"
"632","GOLGA2","LASP1"
"633","GOLGA2","LCP2"
"634","GOLGA2","LGALS3"
"635","GOLGA2","MAGOH"
"636","GOLGA2","NCF2"
"637","GOLGA2","PSMA4"
"638","GOLGA2","RAB2A"
"639","GOLGA2","SRSF2"
"640","GOLGA2","TPM1"
"641","GOLGA2","ZBTB16"
"642","GOLGA2","EIF3G"
"643","GOLGA2","ATP6V1G1"
"644","GOLGA2","UBE3C"
"645","GOLGA2","TSSC4"
"646","GOLGA2","PQBP1"
"647","GOLGA2","ARPC3"
"648","GOLGA2","BCAS2"
"649","GOLGA2","STK25"
"650","GOLGA2","SLU7"
"651","GOLGA2","NUDT21"
"652","GOLGA2","CORO1A"
"653","GOLGA2","SNF8"
"654","GOLGA2","SNW1"
"655","GOLGA2","KDM1A"
"656","GOLGA2","ISCU"
"657","GOLGA2","CCDC53"
"658","GOLGA2","VPS28"
"659","GOLGA2","DCTN4"
"660","GOLGA2","ATP6V1D"
"661","GOLGA2","CINP"
"662","GOLGA2","MBD3"
"663","GOLGA2","CHCHD3"
"664","GOLGA2","LIMS2"
"665","GOLGA2","ZNF410"
"666","GOLGA2","SECISBP2"
"667","GOLGA2","FIP1L1"
"668","GOLGA2","POLDIP3"
"669","GOLGA2","RNF135"
"670","GOLGA2","IFT20"
"671","GOLGA2","ABLIM1"
"672","GOLGA2","RAB6A"
"673","GOLGA2","USO1"
"674","GOLGA2","MVP"
"675","GOLGA2","ZDHHC17"
"676","GOLGA2","NDN"
"677","GOLGA2","RUSC2"
"678","GOLGA2","RAB1A"
"679","GOLGA2","ITSN2"
"680","GOLGA2","SNTA1"
"681","GOLGA2","ZMAT2"
"682","GOLGA2","POM121"
"683","GOLGA2","ARL4A"
"684","GOLGA2","ARL16"
"685","GOLGA2","ITPKB"
"686","GOLGA2","LYPLA1"
"687","GOLGA2","SCAF8"
"688","GOLGA2","CHCHD2"
"689","GOLGA2","CCAR1"
"690","GOLGA2","FAM214A"
"691","GOLGA2","MSRB3"
"692","GOLGA2","CSTF2T"
"693","GOLGA2","RAB1B"
"694","GOLGA2","THYN1"
"695","GRB2","LMO2"
"696","GRB2","TRIM27"
"697","GRB2","WIPF1"
"698","GRB2","ALOX5"
"699","GRB2","LZTS2"
"700","GRB2","TFG"
"701","GRB2","SPRY2"
"702","GRB2","HNRNPK"
"703","GRB2","MAPK9"
"704","GRB2","CDKN1B"
"705","GRB2","ZBTB7B"
"706","GRB2","PHC2"
"707","GRB2","EPS8"
"708","GRB2","DDX17"
"709","GRB2","CBLB"
"710","GRB2","PBXIP1"
"711","GRB2","CDC42"
"712","GRB2","NPM1"
"713","GRB2","CRK"
"714","GRB2","USP53"
"715","GRB2","VCP"
"716","GRB2","HNRNPC"
"717","GRB2","FH"
"718","GRB2","ADAM15"
"719","GRB2","SF3B4"
"720","GRB2","FN1"
"721","GRB2","DNAJA3"
"722","GRB2","FTH1"
"723","GRB2","FTL"
"724","GRB2","WBP11"
"725","GRB2","LCP2"
"726","GRB2","WASL"
"727","GRB2","GAB2"
"728","GRB2","STAMBP"
"729","GRB2","HCLS1"
"730","GRB2","IK"
"731","GRB2","IL6ST"
"732","GRB2","DCTN2"
"733","GRB2","NFYB"
"734","GRB2","PDGFRB"
"735","GRB2","VIM"
"736","GRB2","PPP3CA"
"737","GRB2","SH3KBP1"
"738","GRB2","NCKIPSD"
"739","GRB2","PTK2"
"740","GRB2","PTPN11"
"741","GRB2","NADK"
"742","GRB2","SS18"
"743","GRB2","UBC"
"744","GRB2","ARL6IP4"
"745","GRB2","ARHGAP17"
"746","GRB2","POLR1D"
"747","GRB2","PDCD6IP"
"748","GRB2","SYNCRIP"
"749","GRB2","MED28"
"750","GRB2","GSTK1"
"751","GRB2","CUTA"
"752","GRB2","PRRC2A"
"753","GRB2","RB1"
"754","GRB2","EGFR"
"755","GRB2","PLCG1"
"756","GRB2","HSPA5"
"757","GRB2","JAK2"
"758","GRB2","BCR"
"759","GRB2","SHC1"
"760","GRB2","PRKAR1A"
"761","GRB2","CD2AP"
"762","GRB2","CLU"
"763","GRB2","ABL1"
"764","GRB2","DAB2"
"765","GRB2","PTPN12"
"766","GRB2","PXN"
"767","GRB2","BCAR1"
"768","GRB2","RAPGEF1"
"769","GRB2","DCTN1"
"770","GRB2","COPB1"
"771","GRB2","KHDRBS1"
"772","GRB2","DNM2"
"773","GRB2","PRKAB1"
"774","GRB2","ABI1"
"775","GRB2","RAB11A"
"776","GRB2","GIT1"
"777","GRB2","EPS15"
"778","GRB2","H1F0"
"779","GRB2","RNF10"
"780","GRB2","POLR2A"
"781","GRB2","NCL"
"782","GRB2","USP8"
"783","GRB2","TSC2"
"784","GRB2","SPTBN1"
"785","GRB2","MAP4K5"
"786","GRB2","SOS1"
"787","GRB2","GHR"
"788","GRB2","JAK1"
"789","GRB2","HIPK3"
"790","GRB2","ECHS1"
"791","GRB2","B2M"
"792","GRB2","MYH9"
"793","GRB2","DNAJB11"
"794","GRB2","PIK3R1"
"795","GRB2","DAG1"
"796","GRB2","ERRFI1"
"797","GRB2","FRS2"
"798","GRB2","SH2B1"
"799","GRB2","A2M"
"800","GRB2","CSF3R"
"801","GRB2","ENO1"
"802","GRB2","TF"
"803","GRB2","PTPN1"
"804","GRB2","UBA1"
"805","GRB2","DBN1"
"806","GRB2","RBBP6"
"807","GRB2","SNRNP200"
"808","GRB2","HP"
"809","GRB2","POMP"
"810","GRB2","ESD"
"811","GRB2","CD164"
"812","GRB2","CRBN"
"813","GRB2","TMEM128"
"814","GRB2","SH3D19"
"815","GRB2","CSF1R"
"816","GRB2","ABI3BP"
"817","GRB2","DOCK1"
"818","GRB2","ASAP1"
"819","GRB2","PTPRA"
"820","GRB2","CFH"
"821","GRB2","STRADB"
"822","GRB2","SOS2"
"823","GRB2","AXL"
"824","GRB2","SH3BP2"
"825","GRB2","IRS2"
"826","GRB2","MLXIPL"
"827","GRB2","SHKBP1"
"828","GRB2","AEBP1"
"829","GRB2","COX6A1"
"830","GRB2","TCEAL8"
"831","GRB2","RBP4"
"832","GRB2","WDR1"
"833","GRB2","UBA52"
"834","GRB2","MT-ATP8"
"835","GRB2","MT-ND4"
"836","GRB2","MYH11"
"837","GRB2","MAP4K3"
"838","GRB2","UQCC2"
"839","GRB2","CASC3"
"840","GRB2","PON2"
"841","HNRNPF","SNRPC"
"842","HNRNPF","TFG"
"843","HNRNPF","RBFOX2"
"844","HNRNPF","SF3B4"
"845","HNRNPF","HNRNPM"
"846","HNRNPF","HNRNPUL1"
"847","HNRNPF","SF1"
"848","HNRNPF","PRPF40A"
"849","HNRNPF","SUMO2"
"850","HNRNPF","TXNL4A"
"851","HNRNPF","YWHAQ"
"852","HNRNPF","NCBP2"
"853","HNRNPF","HNRNPD"
"854","HNRNPF","HSPB1"
"855","HNRNPF","HNRNPH3"
"856","HNRNPF","ERG"
"857","HNRNPF","HNRNPH1"
"858","HNRNPF","TGM2"
"859","HNRNPF","HNRNPA0"
"860","HNRNPF","RBM4"
"861","KIFC3","MFAP1"
"862","KIFC3","TRIM27"
"863","KIFC3","GORASP2"
"864","KIFC3","MED4"
"865","KIFC3","LZTS2"
"866","KIFC3","SIAH1"
"867","KIFC3","CDR2"
"868","KIFC3","NUP62"
"869","KIFC3","PHC2"
"870","KIFC3","NDEL1"
"871","KIFC3","TNIP1"
"872","KIFC3","SMARCE1"
"873","KIFC3","KANSL1"
"874","KIFC3","ATF2"
"875","KIFC3","KDM1A"
"876","KIFC3","HSBP1"
"877","KIFC3","TPM3"
"878","KIFC3","PSMB1"
"879","KIFC3","TSG101"
"880","KIFC3","FCHSD2"
"881","KIFC3","DCTN2"
"882","KIFC3","CLIP4"
"883","KIFC3","TSR2"
"884","KIFC3","SNAP29"
"885","KIFC3","APP"
"886","KIFC3","SVIL"
"887","KIFC3","CYTH4"
"888","KIFC3","CCDC28A"
"889","LMO2","CALCOCO2"
"890","LMO2","KANK2"
"891","LMO2","TSC22D4"
"892","LMO2","TRIP6"
"893","LMO2","LZTS2"
"894","LMO2","AGTRAP"
"895","LMO2","UBE2I"
"896","LMO2","NUP62"
"897","LMO2","STAT3"
"898","LMO2","PHC2"
"899","LMO2","MRFAP1L1"
"900","LMO2","MBIP"
"901","LMO2","DDIT3"
"902","LMO2","ADAMTSL4"
"903","LMO2","DAZAP2"
"904","LMO2","ZNF24"
"905","LMO2","HNRNPC"
"906","LMO2","CORO1A"
"907","LMO2","DRAP1"
"908","LMO2","HNRNPM"
"909","LMO2","N4BP2L2"
"910","LMO2","LDB1"
"911","LMO2","ROCK1"
"912","LMO2","SKP1"
"913","LMO2","STAT1"
"914","LMO2","MAPRE2"
"915","LMO2","MAPRE1"
"916","LMO2","MAPRE3"
